,0
0,Louisiana
1,Utah
2,Rhode Island
3,Wisconsin
4,Iowa
5,Ohio
6,Alaska
7,Maryland
8,Nebraska
9,Connecticut
10,New Jersey
11,Missouri
12,Pennsylvania
13,Alabama
14,Kansas
15,Oregon
16,South Dakota
17,Georgia
18,Tennessee
19,Hawaii
20,Washington
21,West Virginia
22,South Carolina
23,Indiana
24,Delaware
25,North Carolina
26,Michigan
27,Minnesota
28,Wyoming
29,Arizona
30,New Hampshire
31,Oklahoma
32,Montana
33,Mississippi
34,Massachusetts
35,Virginia
36,Nevada
37,Idaho
38,Illinois
39,New Mexico
40,Maine
41,Arkansas
42,Florida
43,California
44,Colorado
45,Vermont
46,Kentucky
47,North Dakota
